东北菜,3.8625954198473282
东南亚菜,3.896860986547085
中式烧烤/烤串,3.80718954248366
云贵菜,3.914285714285714
京菜鲁菜,4.083333333333333
代金券,4.118407960199005
其他美食,3.8586206896551722
创意菜,3.945273631840796
台湾/客家菜,3.8266666666666667
小吃快餐,4.105472636815921
川湘菜,3.881592039800995
新疆菜,3.712121212121212
日本料理,4.0676616915422885
江浙菜,3.9800995024875623
汤/粥/炖菜,4.046666666666667
海鲜,3.8793103448275863
火锅,4.029850746268656
烧烤烤肉,3.936318407960199
聚餐宴请,4.001990049751244
自助餐,3.903030303030303
蛋糕甜点,4.101492537313433
西北菜,3.9466666666666668
西餐,3.9482587064676617
韩国料理,4.056666666666667
香锅烤鱼,3.7956777996070725
东北菜,25218.0
东南亚菜,58584.0
中式烧烤/烤串,109264.0
云贵菜,13441.0
京菜鲁菜,10801.0
代金券,1008282.0
其他美食,160362.0
创意菜,24525.0
台湾/客家菜,16207.0
小吃快餐,609636.0
川湘菜,382028.0
新疆菜,27619.0
日本料理,219754.0
江浙菜,313236.0
汤/粥/炖菜,48456.0
海鲜,246820.0
火锅,534576.0
烧烤烤肉,324603.0
聚餐宴请,340969.0
自助餐,444536.0
蛋糕甜点,341087.0
西北菜,30410.0
西餐,203511.0
韩国料理,158485.0
香锅烤鱼,187178.0
